STUDY_ID	SAMPLE_ID	B2M
laml_tcga_pan_can_atlas_2018	TCGA-AB-2989-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-3008-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2863-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2844-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2955-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2897-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-3012-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2837-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-3006-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2990-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2865-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2878-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2886-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2825-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2954-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2932-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2861-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2877-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2854-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2965-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2983-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2871-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2858-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2833-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2831-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-3002-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2807-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2934-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2940-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2909-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2815-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2945-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2973-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2905-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2816-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2922-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2868-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2813-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2889-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2988-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2829-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2901-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2841-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2859-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2999-03	NP
laml_tcga_pan_can_atlas_2018	TCGA-AB-2845-03	NP
